OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,mujets,central,5,0.0,2.5,30,120,0,1,0.97975
L,mujets,up,5,0.0,2.5,30,120,0,1,1.08757
L,mujets,down,5,0.0,2.5,30,120,0,1,0.86222
L,mujets,central,4,0.0,2.5,30,120,0,1,0.97975
L,mujets,up,4,0.0,2.5,30,120,0,1,1.03366
L,mujets,down,4,0.0,2.5,30,120,0,1,0.92099
L,mujets,central,5,0.0,2.5,120,180,0,1,0.95141
L,mujets,up,5,0.0,2.5,120,180,0,1,1.12562
L,mujets,down,5,0.0,2.5,120,180,0,1,0.77382
L,mujets,central,4,0.0,2.5,120,180,0,1,0.95141
L,mujets,up,4,0.0,2.5,120,180,0,1,1.03851
L,mujets,down,4,0.0,2.5,120,180,0,1,0.86261
L,mujets,central,5,0.0,2.5,180,240,0,1,0.99541
L,mujets,up,5,0.0,2.5,180,240,0,1,1.1234
L,mujets,down,5,0.0,2.5,180,240,0,1,0.86559
L,mujets,central,4,0.0,2.5,180,240,0,1,0.99541
L,mujets,up,4,0.0,2.5,180,240,0,1,1.05941
L,mujets,down,4,0.0,2.5,180,240,0,1,0.9305
L,mujets,central,5,0.0,2.5,240,1000,0,1,0.98072
L,mujets,up,5,0.0,2.5,240,1000,0,1,1.07493
L,mujets,down,5,0.0,2.5,240,1000,0,1,0.85696
L,mujets,central,4,0.0,2.5,240,1000,0,1,0.98072
L,mujets,up,4,0.0,2.5,240,1000,0,1,1.02783
L,mujets,down,4,0.0,2.5,240,1000,0,1,0.91884
M,mujets,central,5,0.0,2.5,30,120,0,1,0.95872
M,mujets,up,5,0.0,2.5,30,120,0,1,1.12531
M,mujets,down,5,0.0,2.5,30,120,0,1,0.78416
M,mujets,central,4,0.0,2.5,30,120,0,1,0.95872
M,mujets,up,4,0.0,2.5,30,120,0,1,1.04201
M,mujets,down,4,0.0,2.5,30,120,0,1,0.87144
M,mujets,central,5,0.0,2.5,120,180,0,1,0.89104
M,mujets,up,5,0.0,2.5,120,180,0,1,1.14708
M,mujets,down,5,0.0,2.5,120,180,0,1,0.62407
M,mujets,central,4,0.0,2.5,120,180,0,1,0.89104
M,mujets,up,4,0.0,2.5,120,180,0,1,1.01906
M,mujets,down,4,0.0,2.5,120,180,0,1,0.75755
M,mujets,central,5,0.0,2.5,180,240,0,1,1.02868
M,mujets,up,5,0.0,2.5,180,240,0,1,1.13734
M,mujets,down,5,0.0,2.5,180,240,0,1,0.9019
M,mujets,central,4,0.0,2.5,180,240,0,1,1.02868
M,mujets,up,4,0.0,2.5,180,240,0,1,1.08301
M,mujets,down,4,0.0,2.5,180,240,0,1,0.96529
M,mujets,central,5,0.0,2.5,240,1000,0,1,0.93204
M,mujets,up,5,0.0,2.5,240,1000,0,1,1.17854
M,mujets,down,5,0.0,2.5,240,1000,0,1,0.68318
M,mujets,central,4,0.0,2.5,240,1000,0,1,0.93204
M,mujets,up,4,0.0,2.5,240,1000,0,1,1.05529
M,mujets,down,4,0.0,2.5,240,1000,0,1,0.80761
L,incl,central,0,0,2.5,20,1000,0,1,"1.13229-0.000199506*x+7.41326e-07*x*x-5.21686e-10*x*x*x" 
L,incl,down,0,0,2.5,20,1000,0,1,"1.04669-0.000200148*x+8.42438e-07*x*x-6.04708e-10*x*x*x" 
L,incl,up,0,0,2.5,20,1000,0,1,"1.21803-0.000198664*x+6.38854e-07*x*x-4.37965e-10*x*x*x" 
M,incl,central,0,0,2.5,20,1000,0,1,"0.991345+0.000138583*x+2.81386e-08*x*x" 
M,incl,down,0,0,2.5,20,1000,0,1,"0.836145+0.000103764*x+2.18709e-08*x*x" 
M,incl,up,0,0,2.5,20,1000,0,1,"1.14656+0.000173335*x+3.4515e-08*x*x"
T,incl,central,0,0,2.5,20,1000,0,1,"0.991345+0.000138583*x+2.81386e-08*x*x" 
T,incl,down,0,0,2.5,20,1000,0,1,"0.836145+0.000103764*x+2.18709e-08*x*x" 
T,incl,up,0,0,2.5,20,1000,0,1,"1.14656+0.000173335*x+3.4515e-08*x*x"
